,Tier,Species_Alligator,Species_Anteater,Species_Bear,Species_Bird,Species_Bull,Species_Cat,Species_Chicken,Species_Cow,Species_Cub,Species_Deer,Species_Dog,Species_Duck,Species_Eagle,Species_Elephant,Species_Frog,Species_Goat,Species_Gorilla,Species_Hamster,Species_Hippo,Species_Horse,Species_Kangaroo,Species_Koala,Species_Lion,Species_Monkey,Species_Mouse,Species_Octopus,Species_Ostrich,Species_Penguin,Species_Pig,Species_Rabbit,Species_Rhino,Species_Sheep,Species_Squirrel,Species_Tiger,Species_Wolf,Gender_Female,Gender_Male,Personality_Big Sister,Personality_Cranky,Personality_Jock,Personality_Lazy,Personality_Normal,Personality_Peppy,Personality_Smug,Personality_Snooty,Hobby_Education,Hobby_Fashion,Hobby_Fitness,Hobby_Music,Hobby_Nature,Hobby_Play,Style 1_Active,Style 1_Cool,Style 1_Cute,Style 1_Elegant,Style 1_Gorgeous,Style 1_Simple,Style 2_Active,Style 2_Cool,Style 2_Cute,Style 2_Elegant,Style 2_Gorgeous,Style 2_Simple,Color 1_Beige,Color 1_Black,Color 1_Blue,Color 1_Brown,Color 1_Colorful,Color 1_Gray,Color 1_Green,Color 1_Light blue,Color 1_Orange,Color 1_Pink,Color 1_Purple,Color 1_Red,Color 1_White,Color 1_Yellow,Color 2_Beige,Color 2_Black,Color 2_Blue,Color 2_Brown,Color 2_Colorful,Color 2_Gray,Color 2_Green,Color 2_Light blue,Color 2_Orange,Color 2_Pink,Color 2_Purple,Color 2_Red,Color 2_White,Color 2_Yellow
Tier,1.0,0.01667754609931792,0.07400431994400658,0.08403587161829833,0.10770512629114745,0.07725986674495092,-0.25179741288076607,0.08232204791213539,0.05032892174570012,-0.10878160165663868,-0.2207455986597109,-0.11837420568184072,0.026335247337158283,0.018959999223857944,0.044001658363646425,0.045271463076968804,-0.08953618625333379,0.13301168686275747,-0.022418377923093192,0.10266770686635077,0.0246717780270523,0.1118172387373882,-0.006384820251453005,0.10266770686635085,0.08497011540529194,0.13350594961100304,-0.2069272629163138,-0.01610180587155213,0.001707883955787107,0.13350594961100323,-0.040328272972433285,-0.015499420554770094,-0.008891840277748985,-0.0635470332125484,0.05967262648283444,-0.22033161729719078,-0.08336407893825047,0.0833640789382505,-0.0555016338319268,0.0937030271348148,0.0827712402902042,-0.05813314060836582,-0.13905374948026916,-0.06804152373995302,0.004398473696523556,0.12649838766864674,0.028965439050005343,0.1317654849664316,0.1368388778390929,-0.09944143927824939,-0.1168307657939686,-0.082662933483254,0.1212759193317449,0.056676358295528084,-0.16296171432797532,0.03292170108297329,0.059774424785849836,-0.06782659142577262,0.09282345055776656,0.06269028037793216,-0.2949500763133369,0.07220316850039932,0.13206715774620212,-0.0368262940303983,-0.17867452424133526,-0.03615289696357581,0.09229037158832495,0.03456579362559329,-0.08548826443292905,-0.01490428436711157,0.04398558200489708,-0.0632966794029067,0.0190778557858184,-0.037558403956458535,0.057028656602758,0.07379129722890651,-0.07616963845208853,0.057348438954115795,-6.957704366340357e-05,0.06335477567650125,-0.023627551932918985,-0.022448165429820588,0.03565387331799877,0.04221379131106156,0.03158794191091056,-0.038008189982058675,0.030161080744013205,-0.055501633831926835,0.022804293996748597,0.01560403058187728,-0.06859452623367064,-0.013246348473198584
Species_Alligator,0.01667754609931792,1.0,-0.018229166666666664,-0.026967153976959115,-0.025038550524055486,-0.01685499656158104,-0.03375385780420761,-0.02072397124812696,-0.013726440155604511,-0.02788866755113586,-0.021873632940660474,-0.027888667551135875,-0.028785386654489896,-0.020723971248126957,-0.0229714258048727,-0.02965959691243362,-0.019513223295418138,-0.020723971248126985,-0.01951322329541814,-0.018229166666666664,-0.026967153976959105,-0.019513223295418162,-0.020723971248126964,-0.018229166666666668,-0.019513223295418148,-0.026967153976959094,-0.011872117121577498,-0.021873632940660467,-0.025038550524055462,-0.026967153976959105,-0.031348116410969955,-0.016854996561581046,-0.025038550524055455,-0.02965959691243365,-0.01822916666666665,-0.02297142580487272,-0.052042733093305885,0.05204273309330588,-0.03452677356259993,0.0008513058832549756,0.056328072608705385,0.04954551148916474,-0.0030318869307259582,-0.05110558862867955,-0.041666666666666685,0.0008513058832550355,-0.05973096325573269,-0.009350397380856676,-0.00935039738085665,-0.059730963255732725,0.04214263608273426,0.0951358786790332,-0.0517000806403716,0.03982456830401935,-0.006708851448418416,0.001858732487630719,0.08593219760082106,-0.04674684418649427,0.006056295160729248,-0.05691678647226422,-0.00580710969270532,-0.0001408214950617143,0.001858732487630732,0.044212076358412594,-0.02878538665448987,-0.04990604059226605,0.010564428184106437,0.07345339083247913,0.06579516949597691,-0.026967153976959077,-0.04807784673612097,-0.0321656397166041,0.05919115348582334,0.03539076357321839,-0.03892157752039229,0.014190706815612889,-0.028785386654489886,0.03176892495716449,-0.029659596912433625,-0.03528684822365407,0.020816908333532294,0.06947266291756163,-0.028785386654489882,-0.038214494709379376,0.04583018157416541,-0.03216563971660408,-0.032967162222498236,-0.034526773562600005,0.048219796863153766,0.0028821665833181666,0.07218682524489003,-0.042995250310886336
Species_Anteater,0.07400431994400658,-0.018229166666666664,1.0,-0.02696715397695913,-0.025038550524055472,-0.016854996561581032,-0.033753857804207615,-0.020723971248126968,-0.013726440155604513,-0.027888667551135858,-0.02187363294066045,-0.02788866755113584,-0.028785386654489934,-0.02072397124812696,-0.022971425804872707,-0.029659596912433625,-0.01951322329541814,-0.020723971248126975,-0.019513223295418144,-0.01822916666666666,-0.026967153976959084,-0.019513223295418144,-0.020723971248126968,-0.01822916666666666,-0.01951322329541816,-0.02696715397695911,-0.011872117121577496,-0.02187363294066046,-0.025038550524055455,-0.026967153976959132,-0.03134811641096999,-0.016854996561581046,-0.025038550524055465,-0.029659596912433635,-0.01822916666666666,-0.022971425804872724,0.0251819676257931,-0.025181967625793143,-0.03452677356259995,0.0008513058832550038,0.000851305883254957,-0.057483742611738164,-0.0030318869307259214,0.06540919360930125,0.026785714285714284,0.0008513058832549528,0.09666283116162107,0.042142636082734226,-0.009350397380856643,-0.059730963255732746,-0.009350397380856652,-0.060288056823064304,-0.051700080640371515,-0.011062380084449836,-0.006708851448418409,0.1136686405897249,-0.04429838093375667,-0.0047284164234614725,0.006056295160729243,-0.0030318869307259123,-0.058611293177537646,-0.05520202606419475,0.05776368653867785,0.04421207635841253,-0.02878538665448986,-0.04990604059226597,-0.049300664859163484,-0.02696715397695913,-0.02878538665448981,-0.026967153976959094,0.07398993296403035,0.05339058565205024,0.059191153485823295,-0.03821449470937945,-0.03892157752039226,0.07584144420344216,-0.028785386654489882,0.03176892495716453,0.0623793109666263,0.04355405266462443,0.0859321976008211,-0.02788866755113584,-0.028785386654489903,-0.038214494709379376,-0.034526773562599936,-0.03216563971660408,-0.03296716222249824,0.045830181574165414,0.0482197968631537,-0.05346419012055218,-0.0486913275206432,0.02371563410005239
Species_Bear,0.08403587161829833,-0.026967153976959115,-0.02696715397695913,1.0,-0.03704055482562239,-0.024934287774570393,-0.049933466371060116,-0.030657820726618344,-0.020306085955567627,-0.041256849850351794,-0.0323585624253957,-0.04125684985035177,-0.042583403201715254,-0.030657820726618334,-0.0339825724388733,-0.043876658294791676,-0.028866711617517356,-0.030657820726618365,-0.02886671161751736,-0.0269671539769591,-0.039893617021276605,-0.02886671161751736,-0.030657820726618372,-0.026967153976959143,-0.028866711617517363,-0.03989361702127661,-0.017562909830404018,-0.03235856242539569,-0.037040554825622365,-0.039893617021276646,-0.046374554448947135,-0.0249342877745704,-0.03704055482562233,-0.04387665829479166,-0.026967153976959136,-0.03398257243887332,-0.031292282806620574,0.031292282806620574,0.11534860340404722,0.11068478047491545,-0.04251079179302056,-0.04809374631832127,-0.0469994038465146,0.004834451558156537,0.032874244848102564,-0.08080968486000463,0.019605421699709066,-0.01891081015180118,0.05218656263045117,-0.016383873533090253,0.016637876239324976,-0.053420483787136396,-0.03660940790160726,0.08400716743626355,0.05733817957435863,-0.04135829633395782,-0.06553241195358754,-0.015282884860675338,-0.03660940790160728,-0.009799470842491926,-0.013798388536053835,-0.04365061550917549,-0.04135829633395785,0.11194001983777767,-0.0425834032017152,0.008063489465927916,-0.031604081491210495,0.029432624113475178,-0.04258340320171519,0.02943262411347522,-0.028988226923541832,-0.047583950208277236,0.016788737658379686,-0.0057182065713307145,-0.05757828611758997,0.10003503067127334,0.022711148374248116,0.039956515994149275,-0.043876658294791614,0.002227254697770669,0.024373458480983407,-0.04125684985035177,-0.04258340320171519,-0.005718206571330712,0.05987344481735294,0.011480572113743051,0.12458435242938393,0.0043982862306586245,-0.049933466371060053,-0.04019254699007146,0.0531429286800402,-0.06360463737114916
Species_Bird,0.10770512629114745,-0.025038550524055486,-0.025038550524055472,-0.03704055482562239,1.0,-0.02315106832401895,-0.04636238668868227,-0.02846527274909076,-0.01885386049928378,-0.03830629366094823,-0.03004438291361123,-0.03830629366094821,-0.03953797621593146,-0.028465272749090786,-0.03155224899428009,-0.0407387418961421,-0.026802257958555627,-0.028465272749090775,-0.02680225795855561,-0.025038550524055476,-0.037040554825622365,-0.026802257958555648,-0.028465272749090765,-0.025038550524055504,-0.026802257958555644,-0.037040554825622365,-0.01630686744006158,-0.03004438291361128,-0.03439153439153441,-0.03704055482562236,-0.04305799661293957,-0.02315106832401897,-0.03439153439153444,-0.040738741896142086,-0.025038550524055514,-0.0315522489942801,-0.06332360547125389,0.0633236054712539,-0.04742401998334808,-0.03399980691522505,0.08909208663896921,0.0002024523384539239,-0.038324387366836424,0.015978622374645243,0.04402382509724042,-0.03399980691522505,-0.04348676986326347,-0.007402567359771374,0.030681693662210224,-0.04348676986326349,-0.007402567359771338,0.0704605187015388,0.09985422101612158,-0.009818087045699798,-0.04247359253253812,0.008459809440976218,-0.0608457462387414,0.002384412289026074,0.05713759036261658,0.0413821842312117,-0.04145116364988249,-0.07582237542245861,-0.032887509201794875,0.042598295786787616,0.03041382785840883,0.06305079824217652,-0.023440361546924762,-0.03704055482562241,0.030413827858408887,-0.03704055482562235,0.06938503637310092,0.01909650635987501,-0.041911297570986134,0.056387671751369425,-0.05346047370351269,-0.06518840905265313,-0.03953797621593151,-0.0016204348420785128,-0.04073874189614205,0.009842735450154906,0.03547282371813263,-0.03830629366094821,-0.03953797621593149,0.056387671751369405,-0.04742401998334808,0.019096506359874945,0.07853071957999248,0.012008005059886216,0.014265349750363766,0.009912177889786418,-0.02217889207387316,-0.059055839846594294
Species_Bull,0.07725986674495092,-0.01685499656158104,-0.016854996561581032,-0.024934287774570393,-0.02315106832401895,1.0,-0.031209389196617972,-0.019161735175103167,-0.012691699289168192,-0.02578633484881218,-0.02022473186765448,-0.025786334848812178,-0.026615456534959992,-0.019161735175103164,-0.02123976976214368,-0.027423766161021202,-0.01804225709072288,-0.019161735175103164,-0.018042257090722873,-0.016854996561581043,-0.024934287774570386,-0.018042257090722907,-0.01916173517510316,-0.016854996561581063,-0.018042257090722907,-0.024934287774570362,-0.010977160773277777,-0.0202247318676545,-0.023151068324018958,-0.0249342877745704,-0.028984999916924808,-0.015584415584415588,-0.023151068324018947,-0.027423766161021212,-0.016854996561581063,-0.02123976976214368,-0.11952286093343938,0.11952286093343933,-0.03192404021102316,0.1290240295541688,0.009336258366315856,0.062304130419284016,-0.0526262257528461,-0.04725309370225206,-0.038525706426470976,-0.05050762722761058,0.001006765180295297,-0.056256867712619424,0.1659293471927764,-0.05522826131905648,-0.0007103139862704327,-0.05574335947650659,0.014500173898944023,0.10739887389291146,-0.05471149893120582,-0.04997205276989248,-0.04095903405652532,0.008578342908186596,0.07680311889330796,0.06362718819835628,-0.05419299538160724,-0.05104072920709358,-0.049972052769892514,0.014437910263451575,-0.026615456534959975,0.0178357903059919,0.08357108940373457,0.08339134022384095,-0.026615456534959975,-0.024934287774570376,-0.044453592215343916,0.06255029677647694,-0.028213085888166414,-0.035333769705827495,-0.0359875504609383,0.022621520952614067,-0.026615456534960006,-0.036633199996606115,0.07186042429230559,0.13746766038401897,0.029282116452691367,-0.02578633484881216,-0.026615456534959985,-0.03533376970582751,-0.03192404021102318,-0.029740895825796556,-0.03048199712394751,-0.0319240402110232,-0.031209389196617945,0.07212996237825117,-0.04502082694981075,-0.03975413738903625
Species_Cat,-0.25179741288076607,-0.03375385780420761,-0.033753857804207615,-0.049933466371060116,-0.04636238668868227,-0.031209389196617972,1.0,-0.03837333825724882,-0.025416428388767447,-0.05163977794943221,-0.04050209806302089,-0.05163977794943224,-0.05330017908890262,-0.03837333825724884,-0.04253481546117006,-0.05491890194536592,-0.0361314686764962,-0.03837333825724878,-0.036131468676496165,-0.033753857804207595,-0.04993346637106007,-0.03613146867649623,-0.0383733382572488,-0.03375385780420762,-0.03613146867649621,-0.04993346637106008,-0.021982889316020604,-0.040502098063020894,-0.046362386688682276,-0.049933466371060053,-0.05804543252657154,-0.031209389196617983,-0.046362386688682235,-0.054918901945365986,-0.03375385780420767,-0.04253481546117003,0.06527912098338674,-0.06527912098338669,-0.018646588884321174,-0.038619648790832815,-0.007356123579206249,-0.01596588129602977,-0.014290089472673803,0.06952346619889826,-0.03857583749052298,0.05517092684404682,-0.02246567633412908,0.032432465244948666,-0.05462309935991355,0.09504709218285375,-0.054623099359913545,0.005152236441509767,0.06701096334340483,-3.4325159114945087e-18,-0.020869596778242072,-0.03706450240012717,-0.008634175043337538,0.0013928927615702931,-0.09572994763343544,-0.014290089472673803,0.04026002599486456,-0.009126275942571382,-0.06856932944023518,0.10949170819610521,-0.05330017908890259,0.04128869468459909,-0.0575505585784414,0.06324905740334277,0.05330017908890252,0.06324905740334273,-0.020232471300947706,-0.05955919154334874,-0.0564995955832895,0.012199912863653527,0.05044813029652844,-0.018393258239823174,-7.096387271340317e-18,0.007099522928088315,0.1006846535665042,0.023521876807019223,-0.008634175043337486,0.0032274861218394802,-0.053300179088902604,0.13663902407291953,-0.0639311618891012,0.036869975717311064,-0.013873482462750554,0.026637984120458813,-0.06249999999999999,0.028017861414151832,-0.09015881940643972,-0.04201730398438017
Species_Chicken,0.08232204791213539,-0.02072397124812696,-0.020723971248126968,-0.030657820726618344,-0.02846527274909076,-0.019161735175103167,-0.03837333825724882,1.0,-0.01560501126165302,-0.0317054506685245,-0.024867211345608962,-0.0317054506685245,-0.0327248928216064,-0.023560209424083736,-0.026115245782418122,-0.03371874561705931,-0.022183761108070063,-0.023560209424083746,-0.022183761108070035,-0.020723971248126964,-0.03065782072661833,-0.022183761108070073,-0.02356020942408376,-0.020723971248126992,-0.022183761108070053,-0.030657820726618306,-0.013496909561525113,-0.024867211345609024,-0.028465272749090723,-0.030657820726618334,-0.03563835226608702,-0.019161735175103167,-0.02846527274909076,-0.03371874561705932,-0.02072397124812698,-0.026115245782418136,-0.010391018983359764,0.010391018983359793,0.031801416115640524,-0.013047563515630484,-0.013047563515630483,0.029286859768597823,-0.017060040264128183,-0.05809978967914201,0.013158076982937757,0.03600625700948015,0.02428568853502427,-0.06917033205710998,-0.02363901920470251,0.07038134007480355,-0.06917033205710993,0.06889043253914702,-0.058775642590184536,0.019563216794111164,-0.06727023210296532,0.03742199570037858,0.06479188114867811,0.01054745583224014,-0.0077061398062686455,-0.06470629557322886,-0.01994204726490256,0.03461588526541262,-0.012010437809243149,0.05568131120934081,0.050905388833609955,-0.0042920907102337695,0.04982030926286489,0.05813631189640217,-0.032724892821606365,-0.03065782072661834,-0.05465767753679875,0.039083002809826926,-0.03468924948344525,-0.04344444834480707,0.08390788928482516,0.0005576776059967878,-0.03272489282160642,-0.04504215593772488,-0.0337187456170593,-0.040116130451603775,0.0072154594915572945,0.05438365496614965,-0.032724892821606365,0.021638997259865598,-0.03925203360559062,-0.03656776005473903,-0.03747897720857919,0.03180141611564053,0.0341096340064433,0.03886427927151882,-0.0019135102512752144,0.010107795334378255
Species_Cow,0.05032892174570012,-0.013726440155604511,-0.013726440155604513,-0.020306085955567627,-0.01885386049928378,-0.012691699289168192,-0.025416428388767447,-0.01560501126165302,1.0,-0.02099997949221756,-0.0164706988002177,-0.020999979492217553,-0.021675202958745195,-0.01560501126165303,-0.017297329459172273,-0.022333477415746168,-0.014693326179154554,-0.015605011261653028,-0.01469332617915455,-0.01372644015560451,-0.020306085955567606,-0.01469332617915456,-0.015605011261653028,-0.013726440155604522,-0.01469332617915456,-0.020306085955567623,-0.008939624513261413,-0.0164706988002177,-0.01885386049928378,-0.02030608595556765,-0.023604921265706208,-0.0126916992891682,-0.01885386049928378,-0.02233347741574616,-0.013726440155604524,-0.01729732945917227,0.10618637464037972,-0.10618637464037975,-0.025998428767440573,-0.041132605397360245,-0.041132605397360196,-0.04328487238657077,0.028148235270725252,0.03828582766630243,-0.03137472035566748,0.10507511015143842,-0.0449770144493583,0.15774832509595962,-0.04581469507737444,-0.0449770144493583,0.022039644980403585,-0.04539650216664557,-0.0389298137389707,-0.04664742856942131,0.024576618356771027,0.032971654485634515,0.05244852411273183,-0.011470364357369848,-0.03892981373897066,-0.042857958218652584,0.09503027480235836,-0.04156675513992902,0.03297165448563454,-0.007083715317713047,-0.02167520295874517,-0.037578913623382386,-0.03712306975931363,-0.02030608595556765,0.22758963106682423,-0.020306085955567627,-0.03620229591956243,-0.02422051082807048,0.09523066240382211,-0.028775258040957895,-0.029307686652089732,-0.03573708449459316,0.10295721405403958,-0.029833493327899963,-0.02233347741574613,-0.02657075988600064,-0.033356383536130706,-0.020999979492217553,-0.02167520295874517,-0.028775258040957846,-0.02599842876744059,0.08852020028830511,-0.02482405189561935,0.07989100506661441,0.08260339226349418,0.03399157341728448,-0.03666424283295346,-0.03237513492302362
Species_Cub,-0.10878160165663868,-0.02788866755113586,-0.027888667551135858,-0.041256849850351794,-0.03830629366094823,-0.02578633484881218,-0.05163977794943221,-0.0317054506685245,-0.02099997949221756,1.0,-0.03346430960736842,-0.04266666666666669,-0.04403855060505448,-0.0317054506685245,-0.035143814808558375,-0.045375998426965436,-0.02985313631105809,-0.0317054506685245,-0.029853136311058074,-0.027888667551135834,-0.041256849850351746,-0.029853136311058084,-0.03170545066852449,-0.027888667551135855,-0.02985313631105811,-0.04125684985035175,-0.01816306436746001,-0.033464309607368466,-0.038306293660948225,-0.04125684985035175,-0.04795925194641447,-0.02578633484881219,-0.03830629366094822,-0.04537599842696543,-0.027888667551135907,-0.03514381480855835,0.00898933149950994,-0.008989331499509938,0.0009629057095006712,-0.009306780410870423,-0.009306780410870427,0.055331404132884066,0.05719012116159559,-0.00019945424204365503,-0.06374552583116766,-0.04643893490730251,-0.021596127234271848,-0.024152455430889504,-0.024152455430889504,-0.05648904355080198,0.010313274764284912,0.11582493719733147,-0.040437611094213295,-0.060715759970307,0.014818393473435835,-0.04526616323415826,-0.06777176606620061,0.14543977663385238,-0.04043761109421332,0.021123447977428024,0.05170429369977113,-0.04759916518114283,-0.08268491550594653,0.07174133202706796,0.01926686588971133,-0.07635088319293426,-0.03535533905932738,0.025957434697512976,0.08257228238447704,-0.04125684985035173,-0.032702250183429975,-0.04920997481833967,0.013359658505441043,-0.009198011552709778,-0.05954583420518298,0.009920381611053025,0.082572282384477,0.13051593236900447,0.016228221659643875,-0.0012146644952683765,0.019395209367629777,-0.04266666666666668,0.019266865889711278,-0.05846407343092232,0.0547480674830396,0.008055204211335338,-0.050436218184829365,-0.05282225606403824,0.003227486121839471,-0.044080274460963874,0.0873217669710176,0.023524812370745236
