,class,bruises,gill-attachment,gill-spacing,gill-size,stalk-shape,cap-shape_b,cap-shape_c,cap-shape_f,cap-shape_k,cap-shape_s,cap-shape_x,cap-surface_f,cap-surface_g,cap-surface_s,cap-surface_y,cap-color_b,cap-color_c,cap-color_e,cap-color_g,cap-color_n,cap-color_p,cap-color_r,cap-color_u,cap-color_w,cap-color_y,odor_a,odor_c,odor_f,odor_l,odor_m,odor_n,odor_p,odor_s,odor_y,gill-color_b,gill-color_e,gill-color_g,gill-color_h,gill-color_k,gill-color_n,gill-color_o,gill-color_p,gill-color_r,gill-color_u,gill-color_w,gill-color_y,stalk-root_?,stalk-root_b,stalk-root_c,stalk-root_e,stalk-root_r,stalk-surface-above-ring_f,stalk-surface-above-ring_k,stalk-surface-above-ring_s,stalk-surface-above-ring_y,stalk-surface-below-ring_f,stalk-surface-below-ring_k,stalk-surface-below-ring_s,stalk-surface-below-ring_y,stalk-color-above-ring_b,stalk-color-above-ring_c,stalk-color-above-ring_e,stalk-color-above-ring_g,stalk-color-above-ring_n,stalk-color-above-ring_o,stalk-color-above-ring_p,stalk-color-above-ring_w,stalk-color-above-ring_y,stalk-color-below-ring_b,stalk-color-below-ring_c,stalk-color-below-ring_e,stalk-color-below-ring_g,stalk-color-below-ring_n,stalk-color-below-ring_o,stalk-color-below-ring_p,stalk-color-below-ring_w,stalk-color-below-ring_y,veil-type_p,veil-color_n,veil-color_o,veil-color_w,veil-color_y,ring-number_n,ring-number_o,ring-number_t,ring-type_e,ring-type_f,ring-type_l,ring-type_n,ring-type_p,spore-print-color_b,spore-print-color_h,spore-print-color_k,spore-print-color_n,spore-print-color_o,spore-print-color_r,spore-print-color_u,spore-print-color_w,spore-print-color_y,population_a,population_c,population_n,population_s,population_v,population_y,habitat_d,habitat_g,habitat_l,habitat_m,habitat_p,habitat_u,habitat_w
class,1.0,-0.5015303774075601,-0.12919986026788371,-0.348386785184275,0.5400243574330161,-0.1020190170165608,-0.1825666895051125,0.023007450962256086,0.018525863881447186,0.1635650808562086,-0.06066392808019997,-0.026885747348740583,-0.19541477669456353,0.02300745096225599,0.09545448428229955,0.08867702391665128,0.06754404517616519,-0.030910302793344377,0.09711241151696091,-0.04645578646283912,-0.04435988270150646,0.03470228376929979,-0.0428535295236856,-0.042853529523685714,-0.13368288213884558,0.11301388688237962,-0.21952922241349918,0.16127824377950875,0.6238419598140379,-0.21952922241349934,0.06915876083185794,-0.7855566222366999,0.1869839504781082,0.2863596480470107,0.2863596480470102,0.5388081615534445,-0.10549100033272456,0.12028463137353682,0.15069434851292832,-0.14964064018821704,-0.28894290102217096,-0.08596188733731128,-0.050379722975029115,0.05642604818907659,-0.19535917121359506,-0.2313162223126861,-0.04682810363234032,0.3020011029737887,0.017711782062167232,-0.21854760016988373,-0.2028388599834232,-0.1500868827567863,-0.1195032030720183,0.5876582576306927,-0.49131418071169614,-0.016198352236787995,-0.13678187461175825,0.5735240117095761,-0.4254440458550031,-0.08167385587597321,0.24566243917577246,0.06915876083185794,-0.10549100033272453,-0.2664886838764475,0.23316368640593524,-0.15008688275678558,0.2302768748299883,-0.2177404335323299,0.03254546629861117,0.24566243917577288,0.06915876083185794,-0.10549100033272452,-0.2664886838764485,0.20396577010586373,-0.15008688275678558,0.23027687482998732,-0.21411214894712755,0.056426048189076476,,-0.10549100033272445,-0.10549100033272452,0.1405412461275309,0.03254546629861117,0.06915876083185794,0.1821013741723785,-0.20459959468739053,0.22328591679316287,-0.07437139702538,0.451619066317332,0.06915876083185794,-0.5404689127747064,-0.07437139702538006,0.490229170569535,-0.39683220090329024,-0.416645297107253,-0.07437139702538005,0.09802365435296358,-0.07437139702538043,0.3573840060325164,-0.07437139702538006,-0.21487139719906037,-0.13764485472021473,-0.2195292224134979,-0.15957159653994354,0.44372237905534134,-0.1070548606047637,-0.1261231199145527,-0.1650041459979941,0.1551495328922165,-0.1386266315225331,0.3233457869287497,0.11207815283453418,-0.1500868827567861
bruises,-0.5015303774075601,1.0,-0.13735911633465983,-0.2994729467371057,-0.36959578418930533,0.09936422208135222,0.11568605973268054,0.0038029404303553073,0.045187579443433525,-0.22957773084038408,-0.053026494306945546,0.04855746211031956,-0.028808074284835616,0.026321226185608813,-0.10443879011280058,0.12440078243895879,0.17233019911195424,-0.03500001716933058,0.00042598753823208007,-0.05050120751981863,-0.05174617455848863,0.03816023091406563,-0.037458379488979135,-0.03745837948897901,0.09555472334300917,-0.033563822282377774,0.2698752137232234,-0.13119132713477355,-0.3446415676889407,0.26987521372322376,-0.05625699662833687,0.28517089439425364,0.21391534688858083,-0.23293843846969892,-0.23293843846969894,-0.43829196132544646,0.12968390243302647,-0.13832078975985207,-0.18160790351083722,0.025676869204247575,0.21198855488829715,-0.07513950503633844,0.043855849238537435,0.06455312149013148,0.23827528844546972,0.3352020327387734,-0.0872210054066824,-0.4548221041166331,0.3279399285098397,0.2779158499594915,-0.15172657280227003,0.18450723377841066,-0.08474962293716622,-0.5414941479829679,0.5615717602313047,-0.04589960786661444,-0.1005975190082016,-0.5305491326580111,0.5057964286110221,0.10060464641942786,-0.19983341005806643,-0.05625699662833687,0.12968390243302674,0.32760417827432503,-0.20371236361796566,-0.1311913271347746,-0.11976874185130347,0.13702076890349177,-0.026474016679969365,-0.19983341005806637,-0.05625699662833687,0.12968390243302666,0.32760417827432636,-0.2186912739575454,-0.1311913271347746,-0.11976874185130348,0.1534381474516161,-0.04589960786661459,,-0.09220995253030786,-0.09220995253030782,0.13396416091769,-0.026474016679969365,-0.05625699662833687,-0.029479754051828518,0.04456580688393313,-0.5064055436991901,-0.06500822788383023,-0.3673682406322553,-0.05625699662833687,0.7670361113113325,-0.06500822788383036,-0.24324414481334616,0.33575619204382173,0.3347339060321777,-0.0650082278838303,0.1121420526766293,0.09142744845747298,-0.41687680490139567,-0.06500822788383029,-0.18781963649366762,0.0732292375595945,0.1036393575598942,0.07299731737596231,-0.1792677086135639,0.162029559872656,0.26445673087982413,-0.1317463755007872,-0.27823849512454196,0.22898615381080573,-0.24946037419179345,0.1430173550049531,0.1845072337784082
gill-attachment,-0.12919986026788371,-0.13735911633465983,1.0,-0.07148932924465826,-0.10898396666041488,-0.18648479454187794,0.12289605397740064,-0.003615460369699957,-0.04373957424514964,0.08357549739434551,-0.010243743055910002,-0.0631557688377237,-0.10298925461860878,-0.0036154603696999504,0.21035764604856008,-0.10430431421258635,-0.02367112386779408,0.051392693960866286,-0.06552181836846391,-0.08814596724192018,0.23977171288648844,-0.02188222225396935,-0.007236269713677965,-0.007236269713677976,-0.06241500617169042,-0.06351157243877396,-0.03706982087764916,-0.02534375058915459,-0.09803241073353779,-0.0370698208776492,0.19934680855549855,0.15775522477670167,-0.02938322301903736,-0.04499942043530391,-0.044999420435303715,-0.0846699427139127,-0.01781326624103084,-0.05202689185425354,-0.05126089514849157,-0.037458087211682346,0.08541428692206966,0.5470296187205339,-0.07726339318725173,-0.008866959724528419,-0.04135947286395957,-0.04821856444331454,0.5364520452602176,0.21542290504988632,-0.1518038721514596,0.01114484366323571,-0.06513997192217758,-0.02534375058915472,-0.04398208976882557,-0.07389754412719199,0.09389728017472358,-0.008866959724528414,-0.0460005321898069,-0.10249233075875233,0.10231826678230267,0.04501454854088269,-0.03860413805166453,0.19934680855549855,-0.017813266241030825,-0.044999420435303965,-0.03935348050985883,0.9550973436312871,-0.08913639423494289,-0.17990083316282707,-0.005114292922282793,-0.03860413805166436,0.19934680855549855,-0.01781326624103085,-0.04499942043530415,-0.042247130387748195,0.9550973436312871,-0.08913639423494316,-0.17636446936964953,-0.008866959724528426,,0.6713056620548467,0.6713056620548472,-0.9352375509363868,-0.005114292922282793,0.19934680855549855,-0.004504286621695558,-0.046000532189806896,-0.1173615011890451,-0.012558393528850981,-0.07096878481453049,0.19934680855549855,0.13877814716987533,0.47327203041584254,-0.08167374052614877,-0.08913639423494327,-0.005198858338392655,0.47327203041584187,-0.015403733259616826,-0.012558393528850987,-0.0744564350831717,0.4732720304158414,-0.03628329804264629,0.4075523987165273,-0.03706982087764891,-0.06939864373382375,-0.013080489330468468,-0.08417182580436859,-0.10090526144293782,-0.0976615175644695,0.4361990377720279,-0.03145333574032456,-0.06594728570531354,-0.035482697889296734,-0.025343750589154675
gill-spacing,-0.348386785184275,-0.2994729467371057,-0.07148932924465826,1.0,-0.10833297981843516,0.08089548487832876,0.03940591006630034,0.050573426942177084,-0.039153503988926884,-0.019590967534216044,-0.027597938974529414,0.03332765638930877,0.20241430097221105,0.05057342694217704,0.1521453597466828,-0.33322859444453473,-0.06377300059132289,0.07699628453819238,-0.20884066407322685,0.10776466614165009,-0.06611669132393458,0.0221674646145562,-0.01949542553647935,-0.019495425536479316,0.3204191839584158,-0.11576043217707976,-0.025661919850043704,0.1431158447132449,-0.26411170938041933,-0.025661919850043687,-0.029279272185183586,0.37133251428727937,-0.07916211792197889,-0.12123412821704983,-0.12123412821705033,-0.22811153103331006,-0.04799119149844217,-0.001668438572990893,0.08619724208640728,0.19314640157849963,0.07858671834281739,-0.039106780519292166,0.08902119331234327,-0.023888710604271092,-0.07777066595389523,-0.005764862688590284,-0.03232084751678826,-0.08172321107006957,-0.24265418290399637,-0.10835519027674474,0.5696565871237702,-0.06827926845955518,0.42382091789676435,-0.17588334657818666,-0.05837209062792433,0.02541817073442257,0.3978948798879308,-0.1692647707891669,-0.03092853957572651,-0.06895844856199959,-0.10400442887909857,-0.029279272185183586,-0.04799119149844216,-0.1212341282170498,-0.10602325220563093,-0.06827926845955555,-0.24014471615297914,0.3920034694572607,0.07153924895252732,-0.10400442887909842,-0.029279272185183586,-0.04799119149844221,-0.12123412821704929,-0.047746336225752244,-0.06827926845955555,-0.2401447161529789,0.36776771496319893,0.025418170734422565,,-0.04799119149844228,-0.04799119149844225,0.05245335603263689,0.07153924895252732,-0.029279272185183586,-0.2307286784343087,0.24441660643247018,0.2649622291814796,-0.03383390000468584,-0.19119887932740934,-0.029279272185183586,-0.10226341341489954,-0.03383390000468604,-0.22003938351048186,0.10300766553560019,0.12661520212780616,-0.033833900004686016,-0.04149960499385742,0.17566808447555018,-0.024710711384998134,-0.03383390000468603,0.5075344590025996,-0.06499409349773126,0.1227558092874169,0.3473654328440259,-0.30804335332402194,-0.22676954109889494,-0.21723686209429155,0.5378407643113341,-0.07763176462223545,-0.08473926333070704,-0.17767032582695105,-0.09559487441804886,-0.06827926845955543
gill-size,0.5400243574330161,-0.36959578418930533,-0.10898396666041488,-0.10833297981843516,1.0,0.2145762055311969,-0.14844938823045845,0.03317424095018891,-0.0757657252022952,0.3063327528691008,0.09399311999561064,-0.05699484331973038,-0.25788942401264486,0.03317424095018894,0.19825680864933534,0.04836228887076299,-0.09722058723608323,0.03772147802672952,0.27470128878310157,-0.29076008160463107,0.22143786202457255,0.039307651772130324,0.06639756227836331,0.06639756227836338,-0.04589692933214565,-0.204190356662846,-0.09316397019134158,0.2325456795688472,-0.05539405313753379,-0.09316397019134173,-0.044635629644122016,-0.4572113176395851,0.26961051170575523,0.4128994549768795,0.4128994549768808,0.7769027436644607,-0.07316155389233349,-0.14751606890839528,-0.19937350049168978,-0.04653121988051049,-0.1239904858131851,-0.059617457728898274,-0.19351822330295285,-0.03641783280895352,-0.10287279399913085,-0.128771707566241,-0.0587935098120603,0.6021460899030584,-0.43978386526601265,-0.172903295570495,0.004394064653877442,-0.10409029705576289,-0.15524030889015866,0.09522456939346118,-0.009115676236102143,0.0028415188019724055,-0.11560865707611141,0.08956922281344373,0.005319676687249472,-0.06933412508905033,-0.15855254664236607,-0.044635629644122016,-0.07316155389233345,-0.18481885796541794,-0.16163019999898243,-0.10409029705576328,0.18035720403821956,0.1390171423440296,0.04692702127661134,-0.15855254664236557,-0.044635629644122016,-0.07316155389233354,-0.18481885796541794,-0.10336979694027562,-0.10409029705576328,0.1803572040382192,0.10924107908285913,0.08136022202382416,,-0.07316155389233328,-0.0731615538923334,0.0925402869546954,0.04692702127661134,-0.044635629644122016,0.19498294530340127,-0.18893056272457204,0.5377722310885468,0.11523156950216251,-0.29147863758540093,-0.044635629644122016,-0.30846586162962397,-0.05157906318414715,-0.3035378458616412,-0.19406411238423618,-0.17935572671274197,-0.05157906318414706,-0.06326526790582387,0.1152315695021638,0.6346796420712992,-0.051579063184147046,-0.14902053498892948,-0.11854592439103324,-0.15225089330738717,-0.11957707471342942,0.5064750538441869,-0.29868508651851133,-0.016064329718380323,-0.3238077344883979,0.33621694700150573,-0.1291832102390577,0.17019048022858632,0.1411517380796981,-0.10409029705576338
stalk-shape,-0.1020190170165608,0.09936422208135222,-0.18648479454187794,0.08089548487832876,0.2145762055311969,1.0,-0.2778732383107588,-0.025408778250950812,0.11632396321211777,0.08733241965810945,-0.07199110739773783,-0.02882083400918241,-0.010958230733780792,-0.025408778250950767,0.07180627383404721,-0.05682619381082289,0.0012377695283013982,-0.08447971885196338,0.37725677460747914,-0.06865268476307237,0.22132643516043882,-0.15378415914852644,-0.050855148091188664,-0.05085514809118855,-0.1412051366688551,-0.41111221839174505,-0.20540354624231263,-0.17811113189457353,-0.203097726868629,-0.2054035462423129,-0.07637697983014252,0.24805211787217638,-0.20649978748098374,0.24130342930022938,0.24130342930022916,0.4540313483569231,-0.12518829846309756,-0.3656352505727029,-0.11036407663197582,-0.04484256182360307,0.04563034312006012,-0.10201270605542075,-0.06048921190612894,-0.06231533203594512,0.15929062925409151,-0.08521433740698015,-0.1184150838112005,0.1733454206802328,-0.014833046045712147,-0.3102977568719269,0.095645728499474,-0.1781111318945746,0.2121548233262252,-0.2630539383362998,0.14473980102838255,-0.06231533203594512,0.17827717257611247,-0.2440849854463266,0.21179083545064303,-0.21788781346077982,-0.27130265112136687,-0.07637697983014252,-0.1251882984630976,0.24130342930022947,-0.27656888955502384,-0.17811113189457414,0.22311687549868675,0.029950876916015834,-0.035942292677785495,-0.27130265112136603,-0.07637697983014252,-0.12518829846309737,0.24130342930022927,-0.2969049188749325,-0.17811113189457414,0.2231168754986868,0.052515747386845106,-0.06231533203594511,,-0.12518829846309767,-0.12518829846309762,0.18187565333373176,-0.035942292677785495,-0.07637697983014252,0.33363948485536704,-0.3232831236741032,0.4826653111836084,-0.0882580373545155,-0.498755326210778,-0.07637697983014252,-0.0689266330221918,-0.0882580373545157,-0.3954079213657747,0.10984344114352299,0.10422164557866916,-0.08825803735451566,-0.10825455200961871,0.06734272121060676,0.20368818988198142,-0.0882580373545157,0.19456437792572015,-0.23925986144383027,-0.26051975742188055,-0.12393302651835729,0.26855558310633937,-0.06521839778080211,0.3133307022259116,-0.17258523904203285,0.08528700770582308,-0.22104815192454513,-0.05205880636577363,-0.07733387694362069,-0.17811113189457406
cap-shape_b,-0.1825666895051125,0.11568605973268054,0.12289605397740064,0.03940591006630034,-0.14844938823045845,-0.2778732383107588,1.0,-0.005387247166079984,-0.19326021784647437,-0.08176880974477713,-0.015263775592866407,-0.21956415040988092,-0.09163814854142797,0.018819609016018375,0.1177124903798581,-0.027947253903745185,0.010010644428695432,-0.017911649331641688,-0.11550489455103707,-0.06975966956245176,-0.08490178929944718,0.016230758056543382,-0.010782464616321432,-0.010782464616321409,0.2123804306581483,0.11798088423342021,0.26245504265912334,-0.037763668959975974,-0.1460740190472808,0.26245504265912345,-0.01619368172998586,-0.00031366026473841517,-0.0437827188665168,-0.06705176531514587,-0.06705176531514584,-0.1261631610625384,-0.02654280735030854,0.12258679044715563,-0.0763817284332043,0.10154737645702665,0.0347509744299138,0.07555810923562174,-0.07074672326786181,0.1055229196253606,-0.06162803078807349,0.08488359591039742,0.06409475759664769,0.016346888820497684,-0.18097618264974827,0.48291374550629446,-0.09706236364178564,-0.03776366895997596,-0.06553588318962672,-0.08972957729968364,0.11393825045761947,0.0461553158139734,-0.06854348031431307,-0.09553419405431189,0.12688281652257966,-0.0052657832244540756,-0.05752242095106944,-0.01619368172998586,-0.026542807350308558,-0.06705176531514634,-0.0492287622884565,0.13192219753938517,-0.13281843475901173,0.16150021900382205,0.026621504137449566,-0.05752242095106922,-0.01619368172998586,-0.026542807350308586,-0.0670517653151464,-0.04527192352611234,0.13192219753938517,-0.13281843475901148,0.1573910460588266,0.04615531581397332,,0.09272365665074646,0.0927236566507464,-0.1347104788537267,0.026621504137449566,-0.01619368172998586,-0.20113858598147172,0.21070144532725527,-0.16355302846979053,-0.01871274001944992,-0.10574763537069223,-0.01619368172998586,0.23766580071099117,0.06537039046617595,-0.12169864476461191,0.03040930353343345,0.03823472714799344,0.06537039046617578,0.18331502083951207,-0.018712740019449968,-0.024591991944361166,0.06537039046617599,-0.05406423375413835,0.024358183319245743,0.38158925817890893,0.15870211802192632,-0.16838071688935474,-0.12015400524301954,-0.18203718668134092,0.1491509472879193,0.010112526911940017,0.3743163296540485,-0.09517760425686779,-0.052871292754579156,-0.03776366895997592
cap-shape_c,0.023007450962256086,0.0038029404303553073,-0.003615460369699957,0.050573426942177084,0.03317424095018891,-0.025408778250950812,-0.005387247166079984,1.0,-0.01767174863561298,-0.0074769544821214435,-0.001395722350483024,-0.020076984899797985,-0.014032410198716183,0.2496305418719209,-0.015037747645679469,0.015892568665163958,-0.0032252191862886803,-0.0016378443953192097,-0.010561788067063057,-0.012009994385159229,-0.013880132351460813,-0.002981479183088402,-0.000985950479075787,-0.000985950479075788,0.024711009925190184,0.024136240514457712,-0.005050807819460778,-0.003453116595104617,-0.013357034238924103,-0.005050807819460784,-0.0014807531327774963,0.025332479671813502,-0.004003499587315112,-0.006131225326283501,-0.006131225326283493,-0.011536381849381272,-0.0024270790171145007,-0.007088726785786619,-0.006984358810448595,-0.005103709575917613,-0.008541589783252415,-0.0019777639075361695,-0.01052723054034327,-0.0012081339604879176,-0.005635278078077139,0.03763410675787037,0.05192163503792461,-0.014712426930123321,0.0015665968669281779,0.03793463723555902,-0.008875399766022677,-0.0034531165951046322,-0.005992612795562493,-0.014252789947243348,-0.00632960047915241,0.20326853885209165,-0.00626762801067972,-0.01396470372327018,-0.004890088081357433,0.056194878073987736,-0.005259860385579921,-0.0014807531327774963,-0.0024270790171145,-0.006131225326283526,-0.005361959199593452,-0.003453116595104619,-0.012144941257912514,-0.0022073713348860144,0.35311788345978534,-0.005259860385579894,-0.0014807531327774963,-0.0024270790171145025,-0.006131225326283547,-0.005756222486655555,-0.003453116595104619,-0.012144941257912554,-0.0017649677689323567,0.2032685388520915,,-0.0024270790171144908,-0.002427079017114493,-0.06808900992920336,0.35311788345978534,-0.0014807531327774963,0.006468411208672467,-0.006267628010679714,0.007407770507371712,-0.0017110962700559115,-0.009669582555090888,-0.0014807531327774963,0.0005137552033345223,-0.0017110962700559074,-0.011128145686368985,-0.01214494125791255,-0.012549176354378685,-0.0017110962700559054,-0.002098777241286055,-0.0017110962700559122,0.034398490990009675,-0.0017110962700559076,-0.004943643134248824,0.10619741271109896,-0.005050807819460741,-0.009455648938463358,-0.022074953472781596,-0.011468512819475916,-0.017653432325784677,-0.013306499597154518,0.06570730394398873,-0.004285554943189433,-0.008985397243002121,-0.00483456039742779,-0.0034531165951046288
cap-shape_f,0.018525863881447186,0.045187579443433525,-0.04373957424514964,-0.039153503988926884,-0.0757657252022952,0.11632396321211777,-0.19326021784647437,-0.01767174863561298,1.0,-0.26822564614097916,-0.0500696547219713,-0.7202347239357588,0.06480104359913458,-0.006284908064886494,-0.0933970587929914,0.029075683200405603,0.019202991478551684,-0.00368746748336665,0.009127976635855815,0.05679350115809947,0.019014309538647398,-0.045696322035195115,0.010211413180640994,0.010211413180641025,-0.08884113511531985,-0.010390466251731113,-0.09713028482631204,-0.1238758952106492,0.08344858893038873,-0.09713028482631199,-0.007482642301617909,0.0668559298817733,0.04146393690373043,-0.03098272424461826,-0.030982724244618277,-0.05829642829921209,-0.012264680533726115,-0.048604479944973474,0.07233646631238039,-0.025790411867169082,0.007076573333377385,-0.025233030595818495,0.05944838598136622,0.012512550386577757,0.03294734760368036,-0.013773228720540202,-0.025587823486260007,-0.13285455957706235,0.15850572500525112,-0.20180548831880893,0.08019855144633965,0.03576366264013062,0.05804992890048143,0.019832275758905192,-0.047395491911564,-0.015413812069619528,0.06104992685004311,0.023582063942642804,-0.06057887877555208,0.01624480017567015,0.05447596893506222,-0.007482642301617909,-0.012264680533726095,0.06350062851937457,0.051106854833792695,-0.04405611628525986,0.03940459206201419,-0.09644832377587902,-0.008890392245155337,0.054475968935061986,-0.007482642301617909,-0.012264680533726124,0.06350062851937471,0.04298466159915718,-0.04405611628525986,0.03940459206201407,-0.09271047717721376,-0.01541381206961949,,-0.03096555603222272,-0.030965556032222803,0.04498727759178679,-0.008890392245155337,-0.007482642301617909,0.10791638962589914,-0.10894027889019714,-0.014406840291104362,0.017721692292064304,0.10014712183811543,-0.007482642301617909,-0.061414176241199804,-0.02183078797736734,0.11525334786022882,0.01541025061032954,0.014411402280113755,-0.0218307879773673,0.021736874254564165,0.017721692292064568,-0.1255969130326691,-0.021830787977367327,0.051200931215911225,-0.035213798479505516,-0.181190910570367,-0.07580372652489607,0.03462537878253094,0.11134585101902314,0.07498601181950743,-0.017982117245095408,-0.052325962500846285,-0.1293122923440988,0.02189112679361575,0.030635996145482892,-0.01744952331012976
cap-shape_k,0.1635650808562086,-0.22957773084038408,0.08357549739434551,-0.019590967534216044,0.3063327528691008,0.08733241965810945,-0.08176880974477713,-0.0074769544821214435,-0.26822564614097916,1.0,-0.021184577543009533,-0.3047328455350802,-0.1589419295659567,0.010863256330908367,0.1379877240929375,0.015261209898250364,-0.0032094841050629595,0.04166186899996111,0.1626572201427764,-0.13563225951379598,0.12599152557234958,0.004080834507549234,-0.014964970912961282,-0.0149649709129613,-0.06819012766265387,-0.12413223448999047,-0.07666226013302424,-0.05241215507420252,-0.025921475344363978,-0.0766622601330243,0.05103063203794074,-0.09815150193615223,-0.06076598789260079,0.21129808652195572,0.2112980865219559,0.39757394002651403,0.08364350107236107,-0.062672067507085,-0.10601011781243168,-0.07746521450387994,-0.1102257266087495,0.04361446126785627,-0.12616011082606465,-0.018337320140672735,-0.08553347689827581,-0.02464602221222177,0.05659033924482219,0.47640173019890397,-0.29599179535480724,-0.06875164825451269,-0.1347127489242013,-0.05241215507420274,-0.07802334114409008,0.10223121272850542,-0.05884110177816407,0.026642265856557084,-0.08268620968864832,0.09132425662968756,-0.037560641570257805,-0.006524265373733193,-0.07983530547114857,0.05103063203794074,0.08364350107236136,-0.09306107214903175,-0.07425537248518846,0.07614954414766402,0.0939160785275367,-0.010607534723702704,0.015366749814690677,-0.07983530547114816,0.05103063203794074,0.08364350107236107,-0.09306107214903214,-0.04718648911139629,0.07614954414766402,0.09391607852753638,-0.023523929032941863,0.026642265856556973,,0.0535229424415162,0.053522942441516244,-0.07775902575881793,0.015366749814690677,0.05103063203794074,-0.16839243055778771,0.1599954259726886,0.32861273657322154,-0.025971391519243752,-0.14676702810982642,0.05103063203794074,-0.2070804611739308,0.03773379709861144,-0.1689054166978161,-0.1843385611361056,-0.1790786729050958,0.0377337970986114,-0.03185569765945274,-0.025971391519243762,0.47923991787900433,0.03773379709861139,-0.07503569122198027,0.14089639741309606,0.013599218319249859,-0.08935993594682147,0.17270726852625304,-0.17008111643534696,-0.08922952870730876,-0.1134041488968837,0.23510794244935776,-0.06504708545894165,0.0905379807418739,-0.07338000970624824,0.1190034438882864
